#Creator: pendulumEventBuffer
#Creation time: Thu Mar 31 11:15:25 2022
#Time	Period	Transit time
#[s]	[s]	[s]
223.915893	2.119111	0.040382
224.975427	2.119127	0.040458
226.035020	2.119108	0.040552
227.094535	2.119104	0.040646
228.154124	2.119118	0.040724
229.213653	2.119089	0.040798
230.273213	2.119050	0.040890
231.332703	2.119045	0.040990
232.392258	2.119066	0.041072
233.451769	2.119071	0.041146
234.511329	2.119058	0.041226
235.570827	2.119042	0.041314
236.630371	2.119034	0.041390
237.689861	2.119040	0.041474
238.749411	2.119024	0.041570
239.808885	2.118987	0.041654
240.868398	2.118949	0.041728
241.927834	2.118906	0.041828
242.987304	2.118912	0.041924
244.046746	2.118916	0.041996
245.106220	2.118905	0.042092
246.165651	2.118890	0.042198
247.225110	2.118855	0.042272
248.284506	2.118867	0.042336
249.343977	2.118891	0.042430
250.403397	2.118943	0.042542
251.462920	2.118890	0.042644
252.522287	2.118837	0.042726
253.581757	2.118861	0.042802
254.641148	2.118845	0.042892
255.700602	2.118815	0.042984
256.759963	2.118795	0.043074
257.819397	2.118793	0.043162
258.878756	2.118782	0.043244
259.938179	2.118787	0.043322
260.997543	2.118771	0.043402
262.056950	2.118744	0.043496
263.116287	2.118722	0.043590
264.175672	2.118720	0.043680
265.235007	2.118704	0.043766
266.294376	2.118694	0.043844
267.353701	2.118703	0.043930
268.413079	2.118701	0.044026
269.472402	2.118645	0.044112
270.531724	2.118635	0.044188
271.591037	2.118657	0.044282
272.650381	2.118625	0.044382
273.709662	2.118614	0.044468
274.768995	2.118596	0.044562
275.828258	2.118599	0.044652
276.887594	2.118587	0.044736
277.946845	2.118561	0.044830
279.006155	2.118606	0.044910
280.065451	2.118602	0.045010
281.124757	2.118560	0.045110
282.184011	2.118541	0.045194
283.243298	2.118537	0.045280
284.302548	2.118547	0.045360
285.361845	2.118522	0.045470
286.421070	2.118519	0.045560
287.480364	2.118479	0.045648
288.539549	2.118475	0.045746
289.598839	2.118524	0.045802
290.658073	2.118469	0.045894
291.717308	2.118398	0.046032
292.776471	2.118412	0.046122
293.835720	2.118432	0.046192
294.894903	2.118415	0.046294
295.954135	2.118407	0.046390
297.013310	2.118393	0.046488
298.072528	2.118391	0.046584
299.131701	2.118391	0.046670
300.190919	2.118366	0.046766
301.250067	2.118334	0.046862
302.309253	2.118318	0.046958
303.368385	2.118290	0.047062
304.427543	2.118289	0.047146
305.486674	2.118318	0.047240
306.545861	2.118299	0.047354
307.604973	2.118292	0.047450
308.664153	2.118268	0.047546
309.723241	2.118260	0.047654
310.782413	2.118263	0.047746
311.841504	2.118239	0.047832
312.900652	2.118229	0.047932
313.959733	2.118213	0.048022
315.018865	2.118203	0.048114
316.077936	2.118202	0.048224
317.137067	2.118202	0.048326
318.196138	2.118209	0.048416
319.255276	2.118201	0.048520
320.314339	2.118206	0.048626
321.373482	2.118184	0.048720
322.432523	2.118167	0.048834
323.491649	2.118195	0.048938
324.550718	2.118150	0.049016
325.609799	2.118103	0.049114
326.668821	2.118156	0.049170
327.727955	2.118097	0.049258
328.786918	2.118013	0.049396
329.845968	2.118147	0.049508
330.905065	2.118125	0.049626
331.964093	2.118004	0.049710
333.023069	2.118048	0.049842
334.082141	2.118077	0.049958
335.141146	2.118026	0.050048
336.200167	2.118025	0.050158
337.259171	2.118086	0.050254
338.318253	2.118071	0.050358
339.377242	2.118038	0.050456
340.436291	2.118032	0.050566
341.495274	2.118024	0.050676
342.554315	2.118003	0.050770
343.613277	2.117920	0.050870
344.672235	2.117904	0.050974
345.731181	2.118027	0.051062
346.790262	2.118032	0.051164
347.849213	2.117994	0.051290
348.908256	2.117988	0.051400
349.967201	2.117941	0.051494
351.026197	2.117934	0.051598
352.085135	2.117917	0.051694
353.144114	2.117904	0.051796
354.203039	2.117914	0.051906
355.262028	2.117951	0.052016
356.320990	2.117900	0.052120
357.379928	2.117830	0.052244
358.438820	2.117875	0.052348
359.497803	2.117908	0.052442
360.556728	2.117871	0.052576
361.615674	2.117755	0.052676
362.674483	2.117779	0.052766
363.733453	2.117823	0.052882
364.792306	2.117766	0.052992
365.851219	2.117771	0.053098
366.910077	2.117695	0.053206
367.968914	2.117873	0.053316
369.027950	2.117911	0.053432
370.086825	2.117652	0.053562
371.145602	2.117787	0.053636
372.204612	2.117828	0.053728
373.263430	2.117707	0.053872
374.322319	2.117796	0.054054
375.381226	2.117754	0.054136
376.440073	2.117705	0.054150
377.498931	2.117734	0.054282
378.557807	2.117677	0.054418
379.616608	2.117682	0.054528
380.675489	2.117690	0.054634
381.734298	2.117695	0.054748
382.793184	2.117728	0.054860
383.852026	2.117876	0.054964
384.911060	2.117643	0.055096
385.969669	2.117471	0.055158
387.028531	2.117679	0.055270
388.087348	2.117667	0.055452
389.146198	2.117682	0.055548
390.205030	2.117675	0.055664
391.263873	2.117615	0.055802
392.322645	2.117645	0.055926
393.381518	2.117595	0.056020
