#Creator: pendulumEventBuffer
#Creation time: Thu Mar 31 09:08:41 2022
#Time	Period	Transit time
#[s]	[s]	[s]
225.388383	2.132999	0.025746
226.454866	2.132950	0.025804
227.521333	2.132922	0.025858
228.587788	2.132899	0.025916
229.654232	2.132876	0.025972
230.720664	2.132856	0.026028
231.787088	2.132837	0.026084
232.853501	2.132812	0.026138
233.919900	2.132767	0.026192
234.986268	2.132763	0.026248
236.052663	2.132784	0.026310
237.119052	2.132700	0.026364
238.185363	2.132628	0.026414
239.251680	2.132632	0.026472
240.317995	2.132615	0.026530
241.384295	2.132588	0.026586
242.450583	2.132569	0.026642
243.516864	2.132543	0.026700
244.583126	2.132510	0.026756
245.649374	2.132485	0.026808
246.715611	2.132463	0.026866
247.781837	2.132460	0.026926
248.848071	2.132409	0.026966
249.914246	2.132350	0.027032
250.980421	2.132364	0.027102
252.046610	2.132378	0.027148
253.112799	2.132330	0.027230
254.178940	2.132289	0.027296
255.245088	2.132262	0.027340
256.311202	2.132215	0.027400
257.377303	2.132187	0.027454
258.443389	2.132144	0.027510
259.509447	2.132132	0.027566
260.575521	2.132144	0.027630
261.641591	2.132118	0.027710
262.707639	2.132077	0.027758
263.773668	2.132060	0.027800
264.839699	2.132039	0.027878
265.905707	2.132012	0.027942
266.971711	2.131996	0.027994
268.037703	2.131971	0.028058
269.103682	2.131949	0.028112
270.169652	2.131927	0.028172
271.235609	2.131915	0.028238
272.301567	2.131907	0.028290
273.367516	2.131866	0.028356
274.433433	2.131827	0.028426
275.499343	2.131797	0.028474
276.565230	2.131775	0.028532
277.631118	2.131771	0.028600
278.697001	2.131739	0.028658
279.762857	2.131714	0.028718
280.828715	2.131711	0.028778
281.894568	2.131658	0.028840
282.960373	2.131617	0.028910
284.026185	2.131654	0.028974
285.092027	2.131645	0.029042
286.157830	2.131618	0.029104
287.223645	2.131619	0.029154
288.289449	2.131591	0.029214
289.355236	2.131559	0.029284
290.421008	2.131552	0.029344
291.486788	2.131551	0.029400
292.552559	2.131534	0.029462
293.618322	2.131505	0.029524
294.684064	2.131471	0.029588
295.749793	2.131439	0.029646
296.815503	2.131409	0.029706
297.881202	2.131388	0.029768
298.946891	2.131366	0.029834
300.012568	2.131352	0.029896
301.078243	2.131329	0.029954
302.143897	2.131311	0.030022
303.209554	2.131304	0.030088
304.275201	2.131281	0.030146
305.340835	2.131238	0.030206
306.406439	2.131197	0.030274
307.472032	2.131207	0.030340
308.537646	2.131204	0.030404
309.603236	2.131198	0.030468
310.668844	2.131189	0.030520
311.734425	2.131133	0.030582
312.799977	2.131105	0.030650
313.865530	2.131101	0.030720
314.931078	2.131094	0.030788
315.996624	2.131087	0.030848
317.062165	2.131048	0.030910
318.127672	2.131021	0.030968
319.193186	2.131020	0.031032
320.258692	2.131001	0.031096
321.324187	2.130985	0.031154
322.389677	2.130973	0.031218
323.455160	2.130948	0.031292
324.520625	2.130916	0.031358
325.586076	2.130896	0.031424
326.651521	2.130871	0.031490
327.716947	2.130861	0.031546
328.782382	2.130844	0.031608
329.847791	2.130807	0.031682
330.913189	2.130799	0.031746
331.978590	2.130776	0.031812
333.043965	2.130754	0.031882
334.109344	2.130746	0.031940
335.174711	2.130718	0.032006
336.240062	2.130705	0.032076
337.305416	2.130696	0.032140
338.370758	2.130676	0.032200
339.436092	2.130666	0.032264
340.501424	2.130667	0.032336
341.566759	2.130659	0.032402
342.632083	2.130647	0.032466
343.697406	2.130625	0.032512
344.762708	2.130589	0.032584
345.827995	2.130575	0.032674
346.893283	2.130561	0.032734
347.958556	2.130518	0.032800
349.023801	2.130520	0.032870
350.089076	2.130529	0.032936
351.154330	2.130501	0.032996
352.219577	2.130504	0.033062
353.284834	2.130494	0.033132
354.350071	2.130459	0.033202
355.415293	2.130428	0.033274
356.480499	2.130423	0.033338
357.545716	2.130403	0.033404
358.610902	2.130362	0.033472
359.676078	2.130365	0.033540
360.741267	2.130399	0.033614
361.806477	2.130419	0.033682
362.871686	2.130384	0.033748
363.936861	2.130310	0.033818
365.001996	2.130309	0.033888
366.067170	2.130366	0.033944
367.132362	2.130310	0.034020
368.197480	2.130241	0.034096
369.262603	2.130280	0.034158
370.327760	2.130285	0.034228
371.392888	2.130258	0.034292
372.458018	2.130238	0.034364
373.523126	2.130215	0.034432
374.588233	2.130200	0.034502
375.653326	2.130191	0.034576
376.718424	2.130170	0.034644
377.783496	2.130116	0.034708
378.848540	2.130086	0.034768
379.913582	2.130089	0.034844
380.978629	2.130086	0.034918
382.043668	2.130084	0.034980
383.108713	2.130077	0.035050
384.173745	2.130022	0.035118
385.238735	2.130052	0.035190
386.303797	2.130018	0.035278
387.368753	2.129912	0.035354
388.433709	2.130018	0.035434
389.498771	2.130042	0.035514
390.563751	2.129953	0.035574
391.628724	2.129944	0.035636
392.693695	2.129939	0.035702
393.758663	2.129929	0.035778
394.823624	2.129894	0.035848
395.888557	2.129874	0.035918
396.953498	2.129910	0.036000
398.018467	2.129917	0.036054
399.083415	2.129868	0.036118
400.148335	2.129825	0.036202
401.213240	2.129825	0.036276
402.278160	2.129803	0.036348
403.343043	2.129795	0.036410
404.407955	2.129809	0.036482
405.472852	2.129773	0.036568
406.537728	2.129791	0.036636
407.602643	2.129781	0.036722
408.667509	2.129629	0.036794
409.732272	2.129696	0.036860
410.797205	2.129812	0.036938
411.862084	2.129700	0.036988
412.926905	2.129638	0.037066
413.991722	2.129663	0.037148
415.056568	2.129673	0.037224
416.121395	2.129658	0.037306
417.186226	2.129649	0.037384
418.251044	2.129631	0.037456
419.315857	2.129611	0.037530
420.380655	2.129450	0.037606
421.445307	2.129477	0.037682
422.510132	2.129674	0.037760
423.574981	2.129635	0.037842
424.639767	2.129543	0.037918
425.704524	2.129519	0.037988
426.769286	2.129519	0.038064
427.834043	2.129516	0.038138
428.898802	2.129515	0.038212
429.963558	2.129528	0.038288
431.028330	2.129513	0.038348
432.093071	2.129568	0.038442
433.157898	2.129479	0.038536
434.222550	2.129343	0.038588
435.287241	2.129405	0.038658
436.351955	2.129457	0.038738
437.416698	2.129378	0.038820
438.481333	2.129343	0.038890
439.546041	2.129451	0.038970
440.610784	2.129463	0.039056
441.675504	2.129343	0.039136
442.740127	2.129259	0.039198
443.804763	2.129352	0.039294
444.869479	2.129386	0.039394
445.934149	2.129321	0.039458
446.998800	2.129303	0.039540
448.063452	2.129290	0.039624
449.128090	2.129281	0.039704
450.192733	2.129280	0.039774
451.257370	2.129245	0.039844
452.321978	2.129194	0.039904
453.386564	2.129217	0.039996
454.451195	2.129281	0.040102
455.515845	2.129253	0.040182
456.580448	2.129204	0.040268
457.645049	2.129193	0.040346
458.709641	2.129232	0.040410
459.774281	2.129238	0.040490
460.838879	2.129154	0.040590
461.903435	2.129114	0.040674
462.967993	2.129116	0.040746
464.032551	2.129152	0.040830
465.097145	2.129154	0.040910
466.161705	2.129131	0.040986
467.226276	2.129116	0.041072
468.290821	2.128982	0.041162
469.355258	2.128969	0.041248
470.419790	2.129035	0.041332
471.484293	2.128936	0.041426
472.548726	2.128943	0.041528
473.613236	2.129097	0.041608
474.677823	2.129085	0.041698
475.742321	2.129000	0.041806
476.806823	2.129069	0.041886
477.871390	2.129061	0.041980
478.935884	2.128981	0.042076
480.000371	2.128960	0.042162
481.064844	2.128962	0.042248
482.129333	2.128955	0.042326
483.193799	2.128982	0.042422
484.258315	2.128927	0.042514
485.322726	2.128816	0.042596
486.387131	2.128861	0.042698
487.451587	2.128884	0.042802
488.516015	2.128777	0.042898
489.580364	2.128720	0.043000
490.644735	2.128766	0.043094
491.709130	2.128803	0.043184
492.773538	2.128838	0.043288
493.837968	2.128823	0.043388
494.902361	2.128658	0.043486
495.966626	2.128591	0.043560
497.030952	2.128757	0.043652
498.095383	2.128850	0.043762
499.159802	2.128754	0.043872
500.224137	2.128688	0.043986
501.288490	2.128715	0.044080
502.352852	2.128697	0.044188
503.417187	2.128645	0.044298
504.481497	2.128590	0.044414
505.545777	2.128616	0.044526
506.610113	2.128614	0.044622
507.674391	2.128628	0.044718
508.738741	2.128657	0.044818
509.803048	2.128630	0.044912
510.867371	2.128662	0.045006
511.931710	2.128583	0.045108
512.995954	2.128525	0.045212
514.060235	2.128524	0.045310
515.124478	2.128519	0.045420
516.188754	2.128523	0.045540
517.253001	2.128494	0.045662
518.317248	2.128472	0.045776
519.381473	2.128443	0.045874
520.445691	2.128507	0.045982
521.509980	2.128541	0.046088
522.574232	2.128484	0.046188
523.638464	2.128390	0.046292
524.702622	2.128359	0.046412
525.766823	2.128472	0.046526
526.831094	2.128512	0.046624
527.895335	2.128504	0.046734
528.959598	2.128371	0.046836
530.023706	2.128375	0.046960
531.087973	2.128527	0.047122
532.152233	2.128451	0.047218
533.216424	2.128411	0.047288
534.280644	2.128402	0.047412
535.344826	2.128443	0.047540
536.409087	2.128410	0.047610
537.473236	2.128305	0.047704
538.537392	2.128331	0.047828
539.601567	2.128391	0.047910
540.665783	2.128387	0.048018
541.729954	2.128475	0.048104
542.794258	2.128369	0.048180
543.858323	2.128275	0.048298
544.922533	2.128382	0.048414
545.986705	2.128285	0.048522
547.050818	2.128230	0.048612
548.114935	2.128280	0.048646
549.179098	2.128269	0.048748
550.243204	2.128206	0.048916
551.307304	2.128243	0.049040
552.371447	2.128273	0.049142
553.435577	2.128256	0.049230
554.499703	2.128252	0.049326
555.563829	2.128244	0.049434
556.627947	2.128218	0.049550
557.692047	2.128223	0.049654
558.756170	2.128260	0.049760
559.820307	2.128225	0.049874
560.884395	2.128195	0.049974
561.948502	2.128204	0.050080
563.012599	2.128205	0.050170
564.076707	2.128261	0.050266
565.140860	2.128235	0.050356
566.204942	2.128163	0.050448
567.269023	2.128155	0.050574
568.333097	2.128134	0.050678
569.397157	2.128141	0.050794
570.461238	2.128198	0.050916
571.525355	2.128224	0.050990
572.589462	2.128063	0.051220
573.653418	2.128045	0.051336
574.717507	2.128126	0.051326
575.781544	2.128093	0.051448
576.845600	2.128102	0.051540
577.909646	2.128097	0.051640
578.973697	2.128112	0.051742
580.037758	2.128122	0.051848
581.101819	2.128111	0.051962
582.165869	2.128104	0.052074
583.229923	2.128090	0.052178
584.293959	2.128072	0.052282
585.357995	2.127905	0.052386
586.421864	2.127992	0.052584
587.485987	2.128200	0.052674
588.550064	2.128052	0.052700
589.614039	2.127903	0.052718
590.677967	2.127958	0.052814
591.741997	2.128081	0.053014
592.806048	2.128044	0.053132
593.870041	2.127992	0.053262
594.934040	2.128014	0.053368
595.998055	2.128018	0.053466
597.062058	2.127997	0.053564
598.126052	2.127993	0.053664
599.190051	2.127966	0.053786
600.254018	2.127926	0.053912
601.317977	2.127934	0.054010
602.381952	2.127948	0.054116
603.445925	2.127944	0.054234
604.509896	2.127937	0.054340
605.573862	2.127923	0.054448
606.637819	2.127897	0.054546
607.701759	2.127917	0.054658
608.765736	2.127922	0.054784
609.829681	2.127913	0.054882
610.893649	2.127931	0.054998
611.957612	2.127912	0.055100
613.021561	2.127879	0.055194
614.085491	2.127852	0.055334
615.149413	2.127823	0.055466
616.213314	2.127812	0.055564
617.277225	2.127873	0.055674
618.341187	2.127862	0.055794
619.405087	2.127804	0.055902
620.468991	2.127814	0.056014
621.532901	2.127837	0.056130
622.596828	2.127842	0.056240
623.660743	2.127759	0.056354
624.724587	2.127779	0.056466
625.788522	2.127917	0.056576
626.852504	2.127783	0.056696
627.916305	2.127684	0.056786
628.980188	2.127777	0.056900
630.044082	2.127804	0.057040
631.107992	2.127799	0.057152
632.171881	2.127752	0.057258
633.235744	2.127732	0.057376
634.299613	2.127729	0.057490
635.363473	2.127746	0.057586
636.427359	2.127760	0.057702
637.491233	2.127740	0.057830
638.555099	2.127713	0.057946
639.618946	2.127692	0.058080
640.682791	2.127704	0.058194
641.746650	2.127719	0.058288
642.810510	2.127720	0.058404
643.874370	2.127710	0.058524
644.938220	2.127697	0.058636
646.002067	2.127680	0.058746
647.065900	2.127634	0.058872
