5,16.41,16.32,16.11,16.43,16.13
15,15.67,15.51,15.73,15.37,15.64
25,15.36,15.60,15.37,15.61,15.27
35,16.71,16.65,16.68,16.76,16.47
45,22.73,22.44,22.88,22.59,22.78
55,38.74,38.45,38.46,38.79,38.89
65,18.43,18.42,18.57,18.39,18.48
75,15.84,15.93,15.68,15.96,15.70
85,15.46,15.75,15.53,15.44,15.49
95,15.86,15.97,16.18,15.93,16.18
