#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	20.75	0.501	20.38
0.750	20.75	1.001	20.48
1.251	21.15	1.502	20.48
1.752	21.54	2.003	20.38
2.253	21.94	2.503	20.38
2.753	22.14	3.003	20.38
3.254	22.34	3.504	20.48
3.755	22.44	4.005	20.48
4.256	22.54	4.505	20.48
4.756	22.64	5.006	20.48
5.257	22.74	5.507	20.48
5.758	22.74	6.008	20.59
6.258	22.74	6.508	20.59
6.759	22.74	7.009	20.59
7.260	22.84	7.510	20.59
7.761	22.84	8.011	20.59
8.261	22.84	8.511	20.59
8.762	22.94	9.012	20.69
9.262	22.94	9.513	20.69
9.763	22.94	10.013	20.69
10.263	23.04	10.514	20.69
10.764	22.94	11.015	20.69
11.265	23.04	11.516	20.69
11.766	22.94	12.016	20.69
12.266	23.04	12.517	20.59
12.767	23.04	13.018	20.69
13.268	23.04	13.519	20.69
13.768	23.04	14.019	20.69
14.269	23.04	14.520	20.79
14.770	23.14	15.021	20.69
15.271	23.04	15.521	20.79
15.771	23.14	16.021	20.69
16.272	23.04	16.522	20.69
16.773	23.14	17.023	20.69
17.274	23.14	17.523	20.69
17.774	23.14	18.024	20.69
18.275	23.14	18.525	20.79
18.776	23.14	19.026	20.69
19.277	23.14	19.526	20.79
19.777	23.14	20.027	20.79
20.278	23.14	20.528	20.79
20.779	23.14	21.029	20.69
21.280	23.14	21.529	20.79
21.779	23.14	22.030	20.79
22.280	23.24	22.531	20.79
22.781	23.24	23.032	20.69
23.281	23.14	23.532	20.79
23.782	23.24	24.033	20.79
24.283	23.24	24.534	20.69
24.784	23.24	25.035	20.79
25.284	23.24	25.535	20.79
25.785	23.24	26.036	20.79
26.286	23.24	26.537	20.79
26.787	23.24	27.037	20.79
27.287	23.14	27.538	20.79
27.788	23.14	28.038	20.79
28.289	23.24	28.539	20.89
28.790	23.24	29.039	20.79
29.290	23.14	29.540	20.79
29.791	23.24	30.041	20.79
30.292	23.24	30.542	20.89
30.792	23.14	31.042	20.79
31.293	23.24	31.543	20.89
31.794	23.24	32.044	20.79
32.295	23.24	32.545	20.79
32.795	23.24	33.045	20.79
33.296	23.24	33.546	20.89
33.797	23.24	34.047	20.89
34.297	23.24	34.547	20.89
34.797	23.24	35.048	20.79
35.298	23.24	35.549	20.89
35.799	23.24	36.050	20.89
36.300	23.24	36.550	20.89
36.800	23.24	37.051	20.79
37.301	23.24	37.552	20.79
37.802	23.24	38.053	20.89
38.302	23.24	38.553	20.89
38.803	23.24	39.054	20.89
39.304	23.24	39.555	20.89
39.805	23.24	40.055	20.89
40.305	23.14	40.555	20.89
40.806	23.24	41.056	20.79
41.307	23.24	41.557	20.89
41.808	23.24	42.058	20.89
42.308	23.24	42.558	20.89
42.809	23.24	43.059	20.89
43.310	23.24	43.560	20.89
43.811	23.24	44.060	20.89
44.311	23.24	44.561	20.89
44.812	23.24	45.062	20.89
45.313	23.14	45.563	20.89
45.814	23.24	46.063	21.00
46.313	23.14	46.564	20.89
46.814	23.24	47.065	20.89
47.315	23.14	47.566	20.89
47.815	23.14	48.066	20.89
48.316	23.14	48.567	21.00
48.817	23.14	49.068	20.89
49.318	23.14	49.569	20.89
49.818	23.14	50.069	20.89
50.319	23.14	50.570	20.89
50.820	23.14	51.071	20.89
51.321	23.14	51.571	20.89
51.821	23.14	52.071	20.89
