#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	19.47	0.500	19.56
0.751	19.47	1.001	19.56
1.252	19.47	1.501	19.56
1.752	19.37	2.002	19.56
2.253	19.27	2.503	19.66
2.754	19.27	3.004	19.56
3.254	19.27	3.504	19.56
3.755	19.27	4.005	19.56
4.256	19.17	4.506	19.56
4.757	19.17	5.007	19.56
5.256	19.17	5.507	19.56
5.757	19.17	6.008	19.56
6.258	19.17	6.509	19.56
6.759	19.17	7.009	19.56
7.259	19.17	7.510	19.56
7.760	19.17	8.011	19.56
8.261	19.17	8.512	19.56
8.762	19.17	9.012	19.56
9.262	19.17	9.513	19.56
9.763	19.17	10.014	19.56
10.264	19.17	10.515	19.56
10.764	19.07	11.015	19.56
11.265	19.07	11.515	19.56
11.766	19.17	12.016	19.56
12.267	19.17	12.517	19.56
12.767	19.17	13.017	19.56
13.268	19.17	13.518	19.56
13.769	19.07	14.019	19.56
14.270	19.07	14.519	19.56
14.770	19.07	15.020	19.46
15.271	19.17	15.521	19.56
15.772	19.07	16.022	19.56
16.273	19.07	16.522	19.56
16.773	19.17	17.023	19.56
17.274	19.17	17.524	19.56
17.774	19.07	18.025	19.56
18.275	19.07	18.525	19.56
18.775	19.07	19.026	19.56
19.276	19.07	19.527	19.56
19.777	19.07	20.028	19.56
20.277	19.07	20.528	19.56
20.778	19.07	21.029	19.56
21.279	19.07	21.530	19.56
21.780	19.07	22.031	19.56
22.280	19.07	22.531	19.56
22.781	19.07	23.032	19.56
23.282	19.07	23.533	19.56
23.783	19.07	24.032	19.56
24.283	19.07	24.533	19.66
24.784	19.07	25.034	19.56
25.285	19.07	25.535	19.56
25.786	19.07	26.035	19.56
26.286	19.07	26.536	19.56
26.787	19.07	27.037	19.56
27.288	19.07	27.538	19.66
27.788	19.07	28.038	19.66
28.289	19.07	28.539	19.56
28.790	19.07	29.040	19.56
29.291	19.07	29.541	19.66
29.790	19.07	30.041	19.66
30.291	19.07	30.542	19.66
30.792	18.97	31.043	19.66
31.293	19.07	31.543	19.56
31.793	18.97	32.044	19.66
32.294	18.97	32.545	19.66
32.795	18.97	33.046	19.66
33.296	19.07	33.546	19.66
33.796	19.07	34.047	19.66
34.297	18.97	34.548	19.66
34.798	19.07	35.049	19.56
35.299	19.07	35.548	19.66
35.799	19.07	36.049	19.66
36.300	18.97	36.550	19.66
36.801	18.97	37.051	19.66
37.301	18.97	37.551	19.66
37.802	18.97	38.052	19.66
38.303	18.97	38.553	19.66
38.804	18.97	39.054	19.56
39.304	18.97	39.554	19.66
39.805	18.97	40.055	19.66
40.306	19.07	40.556	19.66
40.807	19.07	41.056	19.66
41.306	18.97	41.557	19.66
41.807	18.97	42.058	19.66
42.308	18.97	42.559	19.66
42.809	18.97	43.059	19.66
43.309	18.97	43.560	19.66
43.810	18.97	44.061	19.66
44.311	18.97	44.562	19.66
44.811	18.88	45.062	19.66
45.312	18.97	45.563	19.66
45.813	18.97	46.064	19.66
46.314	18.97	46.565	19.66
46.814	18.97	47.065	19.56
47.315	18.97	47.566	19.66
47.816	18.97	48.066	19.66
48.317	18.97	48.566	19.66
48.817	18.97	49.067	19.66
49.318	18.97	49.568	19.66
49.819	18.97	50.069	19.66
50.320	18.97	50.569	19.77
50.820	18.97	51.070	19.66
51.321	18.97	51.571	19.66
51.822	18.97	52.072	19.66
52.323	18.97	52.572	19.66
52.823	18.97	53.073	19.66
53.324	18.97	53.574	19.77
53.824	18.97	54.075	19.66
54.324	18.97	54.575	19.66
