#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	21.15	0.501	20.07
0.752	21.15	1.002	20.07
1.252	21.25	1.503	20.07
1.752	21.35	2.003	19.97
2.253	21.44	2.504	20.07
2.754	21.54	3.005	20.07
3.255	21.54	3.505	20.07
3.755	21.84	4.006	20.07
4.256	21.94	4.507	20.18
4.757	22.04	5.008	20.07
5.258	22.14	5.508	20.18
5.758	22.14	6.009	20.18
6.259	22.14	6.510	20.18
6.760	22.24	7.011	20.07
7.261	22.34	7.510	20.07
7.761	22.34	8.011	20.18
8.262	22.34	8.512	20.07
8.763	22.34	9.013	20.18
9.263	22.44	9.513	20.07
9.764	22.44	10.014	20.07
10.265	22.44	10.515	20.07
10.766	22.44	11.016	20.07
11.266	22.44	11.516	20.07
11.767	22.44	12.017	20.07
12.268	22.44	12.518	20.07
12.769	22.54	13.018	20.07
13.269	22.44	13.519	20.18
13.769	22.44	14.020	20.07
14.270	22.54	14.521	20.18
14.771	22.54	15.021	20.07
15.271	22.54	15.522	20.07
15.772	22.54	16.023	20.07
16.273	22.54	16.524	20.07
16.773	22.54	17.024	20.07
17.274	22.54	17.525	20.07
17.775	22.54	18.026	20.18
18.276	22.54	18.527	20.18
18.776	22.54	19.027	20.18
19.277	22.64	19.528	20.07
19.778	22.64	20.029	20.18
20.279	22.54	20.528	20.07
20.779	22.64	21.029	20.18
21.280	22.54	21.530	20.18
21.781	22.64	22.031	20.18
22.282	22.54	22.531	20.18
22.782	22.64	23.032	20.18
23.283	22.64	23.533	20.18
23.784	22.54	24.034	20.18
24.285	22.64	24.534	20.18
24.785	22.64	25.035	20.18
25.286	22.64	25.536	20.18
25.787	22.54	26.037	20.18
26.287	22.64	26.537	20.18
26.787	22.54	27.038	20.18
27.288	22.64	27.539	20.18
27.789	22.64	28.040	20.18
28.289	22.64	28.540	20.18
28.790	22.64	29.041	20.18
29.291	22.64	29.542	20.18
29.792	22.64	30.042	20.18
30.292	22.64	30.543	20.07
30.793	22.64	31.044	20.18
31.294	22.64	31.545	20.18
31.795	22.64	32.045	20.18
32.295	22.64	32.545	20.18
32.796	22.64	33.046	20.18
33.297	22.64	33.547	20.18
33.797	22.64	34.047	20.18
34.298	22.64	34.548	20.18
34.799	22.64	35.049	20.18
35.300	22.64	35.550	20.18
35.800	22.64	36.050	20.18
36.301	22.64	36.551	20.18
