#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	20.85	0.501	21.41
0.752	21.94	1.001	21.51
1.252	22.84	1.502	21.71
1.753	23.54	2.003	21.92
2.254	23.94	2.504	22.23
2.754	24.24	3.004	22.64
3.254	24.44	3.505	22.95
3.755	24.55	4.006	23.26
4.256	24.75	4.507	23.36
4.756	24.85	5.007	23.47
5.257	24.95	5.508	23.67
5.758	25.05	6.009	23.88
6.259	25.15	6.510	23.98
6.759	25.15	7.010	24.09
7.260	25.35	7.511	24.19
7.761	25.35	8.012	24.30
8.262	25.46	8.511	24.40
8.762	25.56	9.012	24.50
9.263	25.56	9.513	24.61
9.764	25.66	10.014	24.61
10.265	25.76	10.514	24.81
10.765	25.76	11.015	24.81
11.266	25.76	11.516	24.92
11.767	25.86	12.017	24.92
12.267	25.86	12.517	25.02
12.768	25.96	13.018	25.13
13.269	25.96	13.519	25.13
13.770	25.96	14.020	25.13
14.269	26.07	14.520	25.23
14.770	26.07	15.021	25.23
15.271	26.17	15.522	25.34
15.772	26.17	16.022	25.34
16.272	26.17	16.523	25.44
16.773	26.27	17.024	25.44
17.274	26.27	17.525	25.55
17.775	26.27	18.025	25.65
18.275	26.27	18.526	25.65
18.776	26.27	19.027	25.65
19.277	26.27	19.528	25.65
19.778	26.37	20.028	25.75
20.278	26.37	20.528	25.75
20.779	26.47	21.029	25.75
21.280	26.37	21.530	25.86
21.780	26.47	22.030	25.86
22.281	26.47	22.531	25.86
22.782	26.47	23.032	25.96
23.283	26.47	23.533	25.86
23.783	26.47	24.033	25.96
24.284	26.47	24.534	25.96
24.785	26.58	25.035	26.07
25.286	26.58	25.535	26.07
25.786	26.58	26.036	26.07
26.286	26.58	26.537	26.17
26.787	26.58	27.038	26.07
27.288	26.68	27.538	26.17
27.788	26.68	28.039	26.17
28.289	26.68	28.540	26.28
28.790	26.68	29.041	26.28
29.290	26.68	29.541	26.38
29.791	26.68	30.042	26.38
30.292	26.68	30.543	26.38
30.793	26.68	31.044	26.38
31.293	26.68	31.544	26.38
31.794	26.78	32.045	26.49
32.295	26.68	32.546	26.49
32.796	26.78	33.045	26.49
33.296	26.78	33.546	26.49
33.797	26.78	34.047	26.59
34.298	26.78	34.548	26.59
34.799	26.78	35.048	26.59
35.299	26.78	35.549	26.59
35.800	26.78	36.050	26.59
36.301	26.78	36.551	26.59
36.802	26.78	37.051	26.59
37.302	26.78	37.552	26.59
37.803	26.78	38.053	26.59
38.304	26.88	38.554	26.59
38.804	26.78	39.054	26.59
39.304	26.88	39.555	26.59
39.805	26.88	40.056	26.49
40.306	26.88	40.557	26.59
40.806	26.88	41.057	26.49
41.307	26.88	41.558	26.59
41.808	26.88	42.059	26.59
42.309	26.88	42.559	26.59
42.809	26.88	43.060	26.59
43.310	26.99	43.561	26.70
43.811	26.88	44.062	26.59
44.312	26.88	44.562	26.59
44.812	26.99	45.062	26.59
45.313	26.88	45.563	26.70
45.814	26.99	46.064	26.70
46.314	26.99	46.564	26.70
46.815	26.99	47.065	26.70
47.316	26.99	47.566	26.70
47.817	26.99	48.067	26.70
48.317	26.99	48.567	26.70
48.818	26.99	49.068	26.70
49.319	26.99	49.569	26.70
49.820	26.99	50.069	26.70
50.320	26.99	50.570	26.70
50.820	26.99	51.071	26.80
51.321	26.99	51.572	26.70
51.822	26.99	52.072	26.80
52.322	26.99	52.573	26.70
52.823	26.99	53.074	26.70
53.324	26.99	53.575	26.80
53.824	26.99	54.075	26.80
54.325	26.99	54.576	26.70
54.826	26.99	55.077	26.80
55.327	26.99	55.578	26.80
