#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	20.75	0.501	20.79
0.752	21.05	1.002	20.79
1.252	21.74	1.502	20.89
1.753	22.34	2.003	20.89
2.254	22.84	2.504	21.10
2.754	23.14	3.005	21.10
3.254	23.34	3.505	21.30
3.755	23.44	4.006	21.30
4.256	23.54	4.507	21.41
4.757	23.64	5.007	21.51
5.257	23.74	5.508	21.61
5.758	23.84	6.009	21.61
6.259	23.94	6.510	21.71
6.760	24.04	7.010	21.82
7.260	24.04	7.511	21.92
7.761	24.04	8.012	21.92
8.262	24.14	8.512	22.02
8.762	24.14	9.012	22.02
9.263	24.24	9.513	22.13
9.764	24.24	10.014	22.13
10.265	24.34	10.515	22.23
10.765	24.34	11.015	22.23
11.266	24.34	11.516	22.33
11.767	24.44	12.017	22.33
12.268	24.44	12.517	22.43
12.768	24.44	13.018	22.43
13.269	24.55	13.519	22.43
13.770	24.55	14.020	22.43
14.270	24.55	14.520	22.54
14.770	24.55	15.021	22.54
15.271	24.65	15.522	22.64
15.772	24.65	16.023	22.64
16.272	24.65	16.523	22.64
16.773	24.65	17.024	22.64
17.274	24.65	17.525	22.74
17.775	24.75	18.026	22.64
18.275	24.65	18.526	22.74
18.776	24.75	19.027	22.64
19.277	24.75	19.528	22.74
19.778	24.75	20.029	22.74
20.278	24.75	20.528	22.85
20.779	24.75	21.029	22.85
21.280	24.75	21.530	22.95
21.781	24.85	22.030	22.85
22.281	24.85	22.531	22.95
22.782	24.85	23.032	22.85
23.283	24.85	23.533	23.05
23.784	24.85	24.033	22.95
24.284	24.85	24.534	22.95
24.785	24.85	25.035	23.05
25.286	24.85	25.536	23.05
25.786	24.85	26.036	23.05
26.287	24.95	26.537	23.05
26.787	24.95	27.038	23.16
27.288	24.95	27.539	23.16
27.788	24.95	28.039	23.05
28.289	24.95	28.540	23.16
28.790	24.95	29.041	23.16
29.291	25.05	29.541	23.16
29.791	24.95	30.042	23.16
30.292	24.95	30.543	23.26
30.793	24.95	31.044	23.26
31.294	25.05	31.544	23.26
31.794	24.95	32.045	23.26
32.295	25.05	32.545	23.26
32.796	25.05	33.046	23.26
33.296	25.05	33.546	23.26
33.797	25.05	34.047	23.26
34.298	25.05	34.548	23.26
34.799	24.95	35.049	23.26
35.299	25.05	35.549	23.26
35.800	25.05	36.050	23.26
36.301	25.05	36.551	23.26
36.802	25.05	37.051	23.26
37.302	25.05	37.552	23.26
37.803	25.05	38.053	23.26
38.304	25.05	38.554	23.26
38.804	25.05	39.054	23.26
39.304	25.15	39.555	23.26
39.805	25.05	40.056	23.36
40.306	25.05	40.557	23.47
40.806	25.05	41.057	23.26
41.307	25.05	41.558	23.36
41.808	25.05	42.059	23.36
42.309	25.15	42.560	23.36
42.809	25.15	43.060	23.36
43.310	25.15	43.561	23.36
43.811	25.15	44.062	23.36
44.312	25.15	44.562	23.36
44.812	25.15	45.062	23.47
45.313	25.15	45.563	23.36
45.814	25.15	46.064	23.47
46.315	25.15	46.564	23.36
46.815	25.15	47.065	23.47
47.316	25.15	47.566	23.36
47.817	25.15	48.067	23.47
48.318	25.15	48.567	23.36
48.818	25.15	49.068	23.47
49.319	25.15	49.569	23.47
49.820	25.15	50.070	23.47
50.320	25.15	50.570	23.36
50.820	25.15	51.071	23.47
51.321	25.15	51.572	23.47
51.822	25.15	52.073	23.47
52.322	25.15	52.573	23.47
52.823	25.15	53.074	23.47
53.324	25.15	53.575	23.47
53.825	25.15	54.075	23.47
54.325	25.15	54.576	23.47
54.826	25.15	55.077	23.47
55.327	25.15	55.578	23.57
55.828	25.15	56.078	23.57
56.328	25.15	56.578	23.57
