#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	20.36	0.501	20.18
0.750	20.45	1.001	20.28
1.251	21.05	1.502	20.28
1.752	21.44	2.003	20.38
2.253	22.04	2.503	20.69
2.753	22.44	3.004	20.89
3.254	22.64	3.504	21.10
3.755	22.84	4.005	21.10
4.256	23.04	4.505	21.30
4.756	23.14	5.006	21.30
5.257	23.24	5.507	21.51
5.758	23.34	6.008	21.51
6.258	23.44	6.508	21.61
6.759	23.54	7.009	21.71
7.260	23.54	7.510	21.71
7.761	23.64	8.011	21.82
8.261	23.64	8.511	21.92
8.762	23.74	9.012	21.82
9.262	23.84	9.513	21.92
9.763	23.84	10.013	21.92
10.263	23.84	10.514	22.02
10.764	23.84	11.015	22.13
11.265	23.94	11.516	22.13
11.766	23.94	12.016	22.23
12.266	23.94	12.517	22.33
12.767	23.94	13.018	22.33
13.268	24.04	13.519	22.33
13.768	24.04	14.019	22.43
14.269	24.04	14.520	22.33
14.770	24.04	15.020	22.43
15.271	24.14	15.521	22.43
15.771	24.14	16.021	22.54
16.272	24.14	16.522	22.64
16.773	24.14	17.023	22.64
17.274	24.14	17.523	22.64
17.774	24.14	18.024	22.64
18.275	24.14	18.525	22.64
18.776	24.24	19.026	22.74
19.277	24.24	19.526	22.74
19.777	24.24	20.027	22.74
20.278	24.24	20.528	22.74
20.779	24.24	21.029	22.85
21.278	24.24	21.529	22.85
21.779	24.24	22.030	22.85
22.280	24.24	22.531	22.85
22.781	24.24	23.032	22.85
23.281	24.24	23.532	22.85
23.782	24.24	24.033	22.85
24.283	24.24	24.534	22.95
24.784	24.24	25.035	22.95
25.284	24.24	25.535	22.95
25.785	24.34	26.036	22.95
26.286	24.34	26.537	22.95
26.787	24.24	27.036	23.05
27.287	24.34	27.537	22.95
27.788	24.24	28.038	22.95
28.289	24.34	28.539	23.05
28.790	24.34	29.039	22.95
29.290	24.34	29.540	23.05
29.791	24.34	30.041	23.05
30.292	24.34	30.542	23.05
30.792	24.34	31.042	23.05
31.293	24.34	31.543	23.05
31.794	24.34	32.044	23.05
32.295	24.34	32.545	23.16
32.795	24.34	33.045	23.16
33.295	24.34	33.546	23.16
33.796	24.34	34.047	23.16
34.297	24.34	34.547	23.16
34.797	24.34	35.048	23.16
35.298	24.34	35.549	23.16
35.799	24.34	36.050	23.16
36.300	24.34	36.550	23.16
36.800	24.34	37.051	23.16
37.301	24.34	37.552	23.16
37.802	24.34	38.053	23.16
38.302	24.34	38.553	23.16
38.803	24.34	39.054	23.16
39.304	24.34	39.555	23.16
39.805	24.34	40.055	23.16
40.305	24.34	40.555	23.16
40.806	24.34	41.056	23.16
41.307	24.34	41.557	23.16
41.808	24.24	42.057	23.16
42.308	24.34	42.558	23.16
42.809	24.24	43.059	23.16
43.310	24.34	43.560	23.16
43.811	24.34	44.060	23.16
44.311	24.34	44.561	23.16
44.812	24.34	45.062	23.16
45.313	24.34	45.563	23.16
45.814	24.24	46.063	23.16
46.313	24.34	46.564	23.16
46.814	24.34	47.065	23.16
47.315	24.24	47.566	23.16
47.815	24.34	48.066	23.16
48.316	24.24	48.567	23.16
48.817	24.34	49.068	23.16
49.318	24.24	49.569	23.16
49.818	24.24	50.069	23.16
50.319	24.34	50.570	23.16
50.820	24.24	51.071	23.05
51.321	24.34	51.571	23.16
51.821	24.24	52.071	23.16
52.322	24.24	52.572	23.16
52.823	24.24	53.073	23.16
53.324	24.24	53.573	23.05
53.824	24.24	54.074	23.16
54.325	24.24	54.575	23.16
54.826	24.24	55.076	23.16
55.326	24.24	55.576	23.05
55.827	24.24	56.077	23.16
56.328	24.24	56.578	23.16
56.829	24.24	57.079	23.16
