#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	22.14	0.501	21.10
0.750	22.24	1.001	21.51
1.251	22.64	1.502	22.23
1.752	23.74	2.003	22.74
2.253	24.55	2.503	23.26
2.753	25.05	3.004	23.57
3.254	25.35	3.505	23.88
3.755	25.66	4.006	24.19
4.256	25.86	4.506	24.50
4.756	26.07	5.007	24.81
5.257	26.27	5.508	25.02
5.758	26.37	6.009	25.23
6.258	26.47	6.509	25.44
6.759	26.58	7.009	25.65
7.260	26.68	7.510	25.75
7.761	26.78	8.011	25.96
8.261	26.78	8.511	26.17
8.762	26.88	9.012	26.28
9.263	26.99	9.513	26.38
9.764	26.99	10.013	26.49
10.264	27.09	10.514	26.70
10.765	27.09	11.015	26.80
11.266	27.19	11.516	26.91
11.767	27.19	12.016	27.02
12.267	27.30	12.517	27.12
12.767	27.30	13.018	27.12
13.268	27.40	13.519	27.23
13.768	27.40	14.019	27.33
14.269	27.40	14.520	27.33
14.770	27.50	15.021	27.54
15.271	27.50	15.522	27.65
15.771	27.50	16.022	27.65
16.272	27.50	16.523	27.76
16.773	27.60	17.024	27.86
17.274	27.60	17.525	27.97
17.774	27.71	18.025	28.08
18.275	27.71	18.526	28.08
18.776	27.71	19.026	28.08
19.277	27.71	19.526	28.18
19.777	27.71	20.027	28.18
20.278	27.81	20.528	28.29
20.779	27.81	21.029	28.29
21.280	27.81	21.529	28.39
21.780	27.81	22.030	28.39
22.281	27.81	22.531	28.50
22.782	27.81	23.032	28.50
23.282	27.92	23.532	28.50
23.783	27.92	24.033	28.61
24.283	27.92	24.534	28.61
24.784	28.02	25.035	28.61
25.284	28.02	25.535	28.61
25.785	28.02	26.036	28.71
26.286	28.02	26.537	28.71
26.787	27.92	27.037	28.71
27.287	28.02	27.538	28.82
27.788	28.12	28.039	28.82
28.289	28.12	28.540	28.82
28.790	28.12	29.040	28.82
29.290	28.12	29.541	28.93
29.791	28.12	30.042	28.93
30.292	28.23	30.542	28.93
30.792	28.12	31.042	28.93
31.293	28.23	31.543	29.04
31.794	28.23	32.044	29.04
32.295	28.23	32.545	29.14
32.795	28.23	33.045	29.14
33.296	28.23	33.546	29.14
33.797	28.23	34.047	29.14
34.298	28.23	34.547	29.14
34.798	28.23	35.048	29.14
35.299	28.33	35.549	29.14
35.799	28.33	36.050	29.25
36.300	28.23	36.550	29.25
36.800	28.33	37.051	29.14
37.301	28.33	37.552	29.14
37.802	28.33	38.053	29.14
38.303	28.33	38.553	29.25
38.803	28.33	39.054	29.14
39.304	28.33	39.555	29.14
39.805	28.33	40.056	29.14
40.305	28.33	40.556	29.25
40.806	28.33	41.057	29.25
41.307	28.33	41.558	29.25
41.808	28.33	42.058	29.25
42.308	28.33	42.558	29.25
42.809	28.23	43.059	29.36
43.310	28.33	43.560	29.25
43.811	28.33	44.060	29.36
44.311	28.33	44.561	29.36
44.812	28.33	45.062	29.25
45.313	28.23	45.563	29.36
45.814	28.23	46.063	29.36
46.314	28.23	46.564	29.36
46.815	28.33	47.065	29.47
47.316	28.33	47.566	29.47
47.816	28.33	48.066	29.47
48.317	28.23	48.567	29.47
48.817	28.23	49.068	29.47
49.318	28.33	49.569	29.47
49.818	28.33	50.069	29.57
50.319	28.33	50.570	29.57
50.820	28.23	51.071	29.57
51.321	28.33	51.571	29.47
51.821	28.33	52.072	29.57
52.322	28.33	52.573	29.57
52.823	28.33	53.074	29.57
53.324	28.23	53.574	29.57
53.824	28.33	54.075	29.57
54.325	28.33	54.575	29.57
54.826	28.33	55.076	29.57
55.327	28.33	55.576	29.57
55.827	28.23	56.077	29.57
56.328	28.33	56.578	29.68
56.829	28.33	57.079	29.68
57.329	28.33	57.579	29.68
