#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.249	22.04	0.499	21.92
0.750	22.34	1.000	22.02
1.251	23.14	1.501	22.64
1.752	23.84	2.002	23.47
2.252	24.34	2.502	23.98
2.753	24.75	3.003	24.40
3.254	25.05	3.504	24.61
3.755	25.25	4.004	24.81
4.255	25.25	4.505	25.02
4.756	25.35	5.006	25.13
5.256	25.46	5.507	25.34
5.757	25.56	6.007	25.44
6.257	25.56	6.508	25.65
6.758	25.66	7.009	25.86
7.259	25.76	7.510	25.96
7.760	25.76	8.010	26.07
8.260	25.76	8.511	26.17
8.761	25.86	9.012	26.17
9.262	25.96	9.513	26.38
9.762	26.07	10.013	26.49
10.263	26.07	10.514	26.49
10.764	26.07	11.015	26.59
11.265	26.07	11.515	26.70
11.765	26.17	12.015	26.80
12.266	26.17	12.516	26.91
12.767	26.17	13.017	27.02
13.268	26.27	13.517	27.02
13.768	26.17	14.018	27.12
14.269	26.27	14.519	27.12
14.770	26.27	15.020	27.23
15.271	26.37	15.520	27.23
15.771	26.37	16.021	27.33
16.272	26.37	16.522	27.44
16.773	26.37	17.023	27.44
17.273	26.47	17.523	27.54
17.774	26.47	18.024	27.65
18.274	26.37	18.525	27.65
18.775	26.47	19.026	27.65
19.275	26.47	19.526	27.76
19.776	26.47	20.027	27.76
20.277	26.47	20.528	27.76
20.778	26.47	21.028	27.86
21.278	26.58	21.529	27.86
21.779	26.58	22.030	27.86
22.280	26.58	22.531	27.86
22.781	26.58	23.031	27.97
23.281	26.68	23.532	27.97
23.782	26.68	24.032	27.97
24.283	26.58	24.533	28.08
24.784	26.68	25.033	28.08
25.284	26.58	25.534	28.08
25.785	26.68	26.035	28.18
26.286	26.58	26.536	28.08
26.786	26.68	27.036	28.18
27.287	26.68	27.537	28.18
27.788	26.68	28.038	28.18
28.289	26.68	28.539	28.29
28.789	26.68	29.039	28.29
29.290	26.68	29.540	28.29
29.791	26.78	30.041	28.39
30.291	26.78	30.541	28.29
30.791	26.68	31.042	28.39
31.292	26.78	31.543	28.39
31.793	26.78	32.044	28.39
32.294	26.78	32.544	28.50
32.794	26.78	33.045	28.50
33.295	26.78	33.546	28.50
33.796	26.78	34.047	28.50
34.296	26.78	34.547	28.50
34.797	26.78	35.048	28.61
35.298	26.78	35.549	28.61
35.799	26.78	36.049	28.61
36.299	26.78	36.549	28.61
36.800	26.78	37.050	28.61
37.301	26.78	37.551	28.61
37.802	26.78	38.051	28.71
38.302	26.78	38.552	28.61
38.803	26.78	39.053	28.61
39.304	26.78	39.554	28.61
39.805	26.78	40.054	28.71
40.305	26.78	40.555	28.61
40.806	26.78	41.056	28.61
41.307	26.78	41.557	28.71
41.808	26.78	42.057	28.61
42.307	26.78	42.558	28.61
42.808	26.78	43.059	28.71
43.309	26.78	43.560	28.71
43.809	26.78	44.060	28.71
44.310	26.78	44.561	28.71
44.811	26.78	45.062	28.71
45.312	26.78	45.563	28.71
45.812	26.78	46.063	28.71
46.313	26.78	46.564	28.71
46.814	26.78	47.065	28.71
47.315	26.78	47.565	28.71
47.815	26.78	48.066	28.71
48.316	26.78	48.566	28.71
48.817	26.78	49.067	28.82
49.318	26.88	49.567	28.71
49.818	26.78	50.068	28.82
50.319	26.88	50.569	28.82
50.820	26.78	51.070	28.82
51.320	26.88	51.570	28.82
51.821	26.88	52.071	28.82
52.322	26.78	52.572	28.82
52.823	26.88	53.073	28.82
53.323	26.78	53.573	28.93
53.824	26.88	54.074	28.82
54.324	26.88	54.575	28.82
54.825	26.88	55.075	28.93
55.325	26.88	55.576	28.82
55.826	26.88	56.077	28.82
56.327	26.88	56.578	28.93
56.828	26.78	57.078	28.93
57.328	26.78	57.579	28.93
57.829	26.78	58.080	29.04
58.330	26.78	58.581	28.82
58.830	26.78	59.081	28.93
59.331	26.78	59.582	28.93
59.832	26.78	60.083	29.04
60.333	26.78	60.583	29.04
60.833	26.78	61.083	29.04
61.334	26.78	61.584	29.04
61.835	26.78	62.085	28.93
62.336	26.78	62.585	29.04
62.836	26.78	63.086	29.04
63.337	26.78	63.587	29.04
