#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	19.96	0.501	19.36
0.750	20.06	1.001	19.36
1.251	20.36	1.502	19.46
1.752	20.55	2.002	19.36
2.253	20.65	2.502	19.36
2.753	20.75	3.003	19.46
3.254	20.85	3.504	19.46
3.755	20.95	4.005	19.46
4.256	20.95	4.505	19.46
4.756	21.05	5.006	19.46
5.257	21.05	5.507	19.36
5.758	21.05	6.008	19.46
6.258	21.15	6.508	19.46
6.759	21.15	7.009	19.46
7.260	21.15	7.510	19.36
7.761	21.15	8.011	19.46
8.261	21.15	8.511	19.46
8.761	21.25	9.012	19.46
9.262	21.25	9.513	19.46
9.763	21.25	10.014	19.46
10.263	21.25	10.514	19.46
10.764	21.25	11.015	19.46
11.265	21.25	11.516	19.46
11.766	21.25	12.016	19.46
12.266	21.25	12.517	19.36
12.767	21.35	13.018	19.46
13.268	21.25	13.519	19.46
13.769	21.35	14.018	19.46
14.269	21.35	14.519	19.46
14.770	21.35	15.020	19.46
15.271	21.35	15.521	19.46
15.771	21.35	16.021	19.46
16.272	21.35	16.522	19.36
16.773	21.44	17.023	19.46
17.274	21.35	17.524	19.46
17.774	21.44	18.024	19.46
18.275	21.35	18.525	19.46
18.776	21.35	19.026	19.36
19.277	21.44	19.526	19.46
19.777	21.44	20.027	19.46
20.277	21.44	20.528	19.46
20.778	21.35	21.029	19.46
21.279	21.44	21.529	19.36
21.779	21.35	22.030	19.46
22.280	21.44	22.531	19.46
22.781	21.44	23.032	19.46
23.281	21.44	23.532	19.46
23.782	21.44	24.033	19.46
24.283	21.44	24.534	19.56
24.784	21.44	25.035	19.46
25.284	21.44	25.535	19.46
25.785	21.44	26.036	19.46
26.286	21.44	26.536	19.46
26.787	21.44	27.036	19.46
27.287	21.44	27.537	19.46
27.788	21.44	28.038	19.46
28.289	21.44	28.539	19.56
28.790	21.54	29.039	19.46
29.290	21.44	29.540	19.46
29.791	21.44	30.041	19.46
30.292	21.54	30.542	19.46
30.793	21.44	31.042	19.46
31.293	21.44	31.543	19.46
31.794	21.44	32.044	19.46
32.294	21.44	32.545	19.46
32.794	21.44	33.045	19.46
33.295	21.44	33.546	19.46
33.796	21.54	34.047	19.46
34.297	21.44	34.548	19.46
34.797	21.44	35.048	19.46
35.298	21.44	35.549	19.46
35.799	21.44	36.050	19.56
36.300	21.44	36.550	19.46
36.800	21.44	37.051	19.46
37.301	21.44	37.552	19.46
37.802	21.44	38.052	19.46
38.303	21.44	38.552	19.46
38.803	21.44	39.053	19.46
39.304	21.44	39.554	19.46
39.805	21.44	40.055	19.46
40.305	21.44	40.555	19.56
40.806	21.44	41.056	19.46
