#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	21.15	0.501	22.85
0.751	22.04	1.002	22.95
1.252	23.34	1.503	23.47
1.753	24.65	2.003	23.78
2.253	25.35	2.504	24.30
2.754	25.76	3.005	24.81
3.255	26.07	3.506	25.13
3.755	26.37	4.006	25.55
4.256	26.58	4.507	25.86
4.757	26.88	5.008	26.17
5.258	26.99	5.508	26.38
5.758	27.09	6.008	26.70
6.259	27.40	6.509	26.91
6.760	27.50	7.010	27.23
7.261	27.60	7.510	27.44
7.761	27.71	8.011	27.65
8.262	27.81	8.512	27.86
8.763	27.92	9.013	28.18
9.264	28.02	9.513	28.29
9.764	28.12	10.014	28.50
10.265	28.12	10.515	28.61
10.766	28.23	11.016	28.82
11.267	28.23	11.516	28.93
11.766	28.33	12.017	29.14
12.267	28.43	12.518	29.25
12.768	28.43	13.019	29.36
13.268	28.54	13.519	29.57
13.769	28.64	14.020	29.68
14.270	28.64	14.521	29.79
14.771	28.64	15.022	29.90
15.271	28.75	15.522	30.00
15.772	28.85	16.023	30.11
16.273	28.85	16.524	30.22
16.774	28.85	17.024	30.33
17.274	28.95	17.525	30.44
17.775	28.95	18.025	30.44
18.276	28.95	18.526	30.55
18.777	28.95	19.026	30.55
19.277	29.06	19.527	30.65
19.778	29.06	20.028	30.76
20.279	29.06	20.529	30.76
20.779	29.06	21.029	30.76
21.280	29.06	21.530	30.87
21.781	29.16	22.031	30.87
22.282	29.16	22.532	30.98
22.782	29.16	23.032	30.98
23.283	29.27	23.533	31.09
23.784	29.27	24.034	31.09
24.284	29.27	24.534	31.09
24.784	29.27	25.035	31.09
25.285	29.37	25.536	31.09
25.786	29.37	26.037	31.20
26.287	29.37	26.537	31.20
26.787	29.37	27.038	31.20
27.288	29.37	27.539	31.20
27.789	29.37	28.040	31.20
28.290	29.37	28.540	31.31
28.790	29.37	29.041	31.31
29.291	29.48	29.542	31.31
29.792	29.48	30.043	31.31
30.292	29.48	30.542	31.20
30.793	29.48	31.043	31.31
31.294	29.48	31.544	31.31
31.795	29.48	32.045	31.31
32.295	29.48	32.545	31.31
32.796	29.58	33.046	31.31
33.297	29.48	33.547	31.42
33.798	29.58	34.047	31.31
34.298	29.58	34.548	31.42
34.799	29.58	35.049	31.42
35.300	29.58	35.550	31.42
35.801	29.58	36.050	31.42
36.301	29.58	36.551	31.53
36.801	29.58	37.052	31.53
37.302	29.69	37.553	31.64
37.802	29.58	38.053	31.64
38.303	29.58	38.554	31.64
38.804	29.69	39.055	31.75
39.305	29.69	39.556	31.75
39.805	29.69	40.056	31.75
40.306	29.69	40.557	31.86
40.807	29.69	41.058	31.86
41.308	29.69	41.558	31.75
41.808	29.69	42.059	31.75
42.309	29.69	42.560	31.97
42.810	29.69	43.060	31.86
43.311	29.69	43.560	31.86
43.811	29.69	44.061	31.86
44.312	29.79	44.562	31.97
44.813	29.79	45.063	31.97
45.314	29.79	45.563	31.97
45.814	29.79	46.064	31.97
46.315	29.79	46.565	31.97
46.816	29.79	47.066	31.97
47.316	29.69	47.566	31.97
47.817	29.79	48.067	31.97
48.318	29.79	48.568	31.97
48.818	29.79	49.069	31.97
49.318	29.69	49.569	32.08
49.819	29.79	50.070	32.08
50.320	29.79	50.571	31.97
50.821	29.79	51.071	32.08
51.321	29.79	51.572	32.08
51.822	29.79	52.073	32.08
52.323	29.79	52.574	32.08
52.824	29.79	53.074	32.08
53.324	29.79	53.575	31.97
53.825	29.90	54.076	31.97
54.326	29.79	54.577	32.08
54.826	29.90	55.076	31.97
55.327	29.90	55.577	31.97
55.828	29.79	56.078	31.86
56.329	29.90	56.579	31.97
56.829	29.90	57.079	31.97
57.330	29.90	57.580	31.97
