#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	19.86	0.501	20.69
0.751	19.76	1.002	20.69
1.252	19.76	1.503	20.69
1.752	19.86	2.003	20.69
2.253	20.45	2.504	20.69
2.754	21.35	3.005	20.79
3.255	22.04	3.505	20.89
3.755	22.64	4.006	21.00
4.256	23.14	4.507	21.71
4.757	23.64	5.008	22.02
5.258	23.84	5.508	22.33
5.758	24.04	6.008	22.43
6.259	24.24	6.509	22.54
6.760	24.34	7.010	22.64
7.260	24.55	7.510	22.85
7.761	24.65	8.011	22.95
8.262	24.75	8.512	23.05
8.763	24.85	9.013	23.16
9.263	24.85	9.513	23.26
9.764	24.95	10.014	23.36
10.265	25.05	10.515	23.47
10.766	25.05	11.015	23.57
11.266	25.15	11.516	23.67
11.767	25.15	12.017	23.78
12.267	25.35	12.518	23.88
12.768	25.35	13.018	23.98
13.268	25.35	13.519	23.98
13.769	25.46	14.020	24.09
14.270	25.56	14.521	24.19
14.770	25.46	15.021	24.19
15.271	25.56	15.522	24.30
15.772	25.56	16.023	24.40
16.273	25.66	16.524	24.40
16.773	25.66	17.024	24.50
17.274	25.76	17.525	24.50
17.775	25.66	18.026	24.61
18.276	25.76	18.525	24.61
18.776	25.76	19.026	24.71
19.277	25.86	19.527	24.71
19.778	25.86	20.028	24.71
20.279	25.86	20.528	24.71
20.779	25.86	21.029	24.81
21.280	25.96	21.530	24.81
21.781	25.86	22.031	24.81
22.282	25.96	22.531	24.92
22.782	25.96	23.032	24.92
23.283	26.07	23.533	24.92
23.784	26.07	24.034	25.02
24.284	26.07	24.534	25.02
24.784	26.07	25.035	25.02
25.285	26.17	25.536	25.02
25.786	26.07	26.037	25.13
26.286	26.17	26.537	25.02
26.787	26.17	27.038	25.23
27.288	26.17	27.539	25.23
27.789	26.17	28.039	25.23
28.289	26.17	28.540	25.23
28.790	26.27	29.041	25.23
29.291	26.27	29.542	25.34
29.792	26.27	30.042	25.34
30.292	26.27	30.542	25.34
30.793	26.27	31.043	25.44
31.294	26.27	31.544	25.44
31.794	26.27	32.044	25.44
32.295	26.27	32.545	25.44
32.796	26.37	33.046	25.44
33.297	26.27	33.547	25.44
33.797	26.37	34.047	25.55
34.298	26.27	34.548	25.55
34.799	26.37	35.049	25.55
35.300	26.27	35.549	25.65
35.800	26.27	36.050	25.65
36.301	26.37	36.551	25.65
36.801	26.37	37.052	25.65
37.302	26.37	37.552	25.65
37.802	26.37	38.053	25.65
38.303	26.37	38.554	25.75
38.804	26.37	39.055	25.75
39.304	26.37	39.555	25.75
39.805	26.37	40.056	25.86
40.306	26.47	40.557	25.75
40.807	26.47	41.058	25.86
41.307	26.37	41.558	25.86
41.808	26.47	42.059	25.86
42.309	26.47	42.560	25.86
42.810	26.47	43.059	25.86
43.310	26.37	43.560	25.96
43.811	26.47	44.061	25.86
44.312	26.47	44.562	25.86
44.813	26.47	45.062	25.86
45.313	26.47	45.563	25.86
45.814	26.47	46.064	25.86
46.315	26.47	46.565	25.86
46.816	26.47	47.065	25.96
47.316	26.47	47.566	25.96
47.817	26.47	48.067	25.96
48.318	26.47	48.568	25.96
48.818	26.47	49.068	25.86
49.318	26.47	49.569	25.96
49.819	26.47	50.070	25.96
50.320	26.37	50.571	25.96
50.820	26.47	51.071	25.96
51.321	26.47	51.572	25.96
51.822	26.47	52.073	25.96
52.323	26.47	52.573	25.96
52.823	26.47	53.074	25.96
