#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	19.96	0.500	19.56
0.751	19.96	1.001	19.46
1.251	19.96	1.502	19.46
1.752	20.06	2.003	19.56
2.252	20.06	2.503	19.56
2.753	20.06	3.004	19.56
3.254	20.06	3.505	19.56
3.755	20.06	4.005	19.46
4.255	20.06	4.506	19.46
4.756	20.06	5.007	19.56
5.257	20.06	5.508	19.46
5.758	20.06	6.008	19.46
6.258	20.06	6.509	19.46
6.759	20.06	7.009	19.46
7.260	20.06	7.510	19.46
7.760	20.06	8.010	19.56
8.261	20.06	8.511	19.46
8.762	20.06	9.012	19.46
9.263	20.06	9.513	19.46
9.763	20.06	10.013	19.56
10.264	20.06	10.514	19.56
10.765	20.06	11.015	19.46
11.266	20.06	11.515	19.56
11.766	20.06	12.016	19.46
12.267	20.06	12.517	19.56
12.768	20.06	13.018	19.56
13.268	20.06	13.518	19.56
13.768	20.06	14.019	19.46
14.269	19.96	14.520	19.56
14.770	20.06	15.021	19.56
15.270	20.06	15.521	19.56
15.771	20.06	16.022	19.56
16.272	20.06	16.523	19.56
16.773	20.06	17.024	19.46
17.273	20.06	17.524	19.56
17.774	20.06	18.025	19.46
18.275	20.06	18.526	19.46
18.776	20.16	19.025	19.56
19.276	20.06	19.526	19.46
19.777	20.06	20.027	19.46
20.278	20.06	20.528	19.56
20.779	20.06	21.028	19.46
21.279	20.06	21.529	19.46
21.780	20.06	22.030	19.56
22.281	20.06	22.531	19.56
22.782	20.06	23.031	19.56
23.282	20.06	23.532	19.56
23.783	20.06	24.033	19.56
24.284	20.06	24.534	19.46
24.784	20.16	25.034	19.46
25.284	20.06	25.535	19.46
25.785	20.06	26.036	19.46
26.286	20.06	26.537	19.56
26.786	20.06	27.037	19.56
27.287	20.06	27.538	19.56
27.788	20.06	28.039	19.46
28.289	20.06	28.539	19.46
28.789	20.06	29.040	19.56
29.290	20.06	29.541	19.56
29.791	20.06	30.042	19.46
30.292	20.06	30.542	19.56
30.792	20.06	31.042	19.56
31.293	20.06	31.543	19.56
31.794	20.06	32.044	19.56
32.294	20.06	32.544	19.46
32.795	20.06	33.045	19.46
33.296	20.06	33.546	19.56
33.797	20.06	34.047	19.56
34.297	20.06	34.547	19.46
34.798	20.06	35.048	19.56
35.299	20.06	35.549	19.46
35.800	20.06	36.049	19.46
36.300	19.96	36.550	19.46
36.801	20.06	37.051	19.46
37.301	20.06	37.552	19.46
37.802	20.06	38.052	19.56
38.302	20.06	38.553	19.46
38.803	20.06	39.054	19.46
39.304	20.06	39.555	19.46
39.804	20.06	40.055	19.46
40.305	20.06	40.556	19.46
40.806	20.06	41.057	19.56
41.307	20.06	41.558	19.46
41.807	20.06	42.058	19.46
42.308	19.96	42.559	19.46
42.809	20.06	43.059	19.46
43.310	20.06	43.560	19.46
43.810	20.06	44.060	19.56
44.311	20.06	44.561	19.46
44.812	20.06	45.062	19.46
45.313	20.06	45.562	19.46
45.813	20.06	46.063	19.46
46.314	20.06	46.564	19.46
46.815	20.06	47.065	19.46
47.316	20.06	47.565	19.46
47.816	20.06	48.066	19.56
48.317	20.06	48.567	19.46
48.818	20.16	49.068	19.56
49.317	20.06	49.568	19.56
49.818	20.06	50.069	19.56
50.319	20.06	50.570	19.56
50.820	20.06	51.071	19.56
51.320	20.06	51.571	19.56
51.821	20.06	52.072	19.56
52.322	20.16	52.573	19.56
52.823	20.06	53.073	19.56
53.323	20.16	53.574	19.56
53.824	20.06	54.075	19.46
54.325	20.16	54.576	19.46
54.826	20.06	55.076	19.56
55.326	20.16	55.576	19.56
55.827	20.16	56.077	19.56
56.328	20.06	56.578	19.56
56.828	20.06	57.078	19.56
57.329	20.06	57.579	19.56
57.830	20.06	58.080	19.56
58.331	20.06	58.581	19.56
58.831	20.16	59.081	19.56
59.332	20.16	59.582	19.56
59.833	20.16	60.083	19.56
60.334	20.16	60.584	19.56
60.834	20.16	61.084	19.56
61.334	20.06	61.585	19.56
61.835	20.06	62.086	19.56
62.336	20.06	62.586	19.56
