#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	20.85	0.501	19.46
0.751	20.85	1.002	19.46
1.252	20.85	1.503	19.56
1.753	20.95	2.003	19.46
2.253	20.85	2.504	19.46
2.754	20.85	3.005	19.46
3.255	20.95	3.506	19.46
3.755	20.85	4.006	19.46
4.256	20.95	4.506	19.46
4.757	20.85	5.007	19.46
5.258	20.95	5.508	19.46
5.758	20.85	6.008	19.46
6.259	20.85	6.509	19.46
6.760	20.95	7.010	19.46
7.261	20.85	7.510	19.46
7.761	20.85	8.011	19.46
8.262	20.85	8.512	19.46
8.763	20.85	9.013	19.46
9.264	20.85	9.513	19.36
9.764	20.95	10.014	19.36
10.265	20.85	10.515	19.36
10.765	20.95	11.016	19.46
11.265	20.85	11.516	19.46
11.766	20.85	12.017	19.36
12.267	20.85	12.518	19.46
12.768	20.85	13.019	19.46
13.268	20.85	13.519	19.46
13.769	20.85	14.020	19.46
14.270	20.85	14.521	19.36
14.771	20.85	15.022	19.46
15.271	20.85	15.522	19.46
15.772	20.85	16.023	19.46
16.273	20.85	16.523	19.46
16.774	20.85	17.023	19.46
17.274	20.85	17.524	19.46
17.775	20.75	18.025	19.46
18.276	20.75	18.526	19.46
18.777	20.75	19.026	19.46
19.277	20.75	19.527	19.46
19.778	20.75	20.028	19.46
20.279	20.75	20.529	19.46
20.779	20.75	21.029	19.46
21.280	20.75	21.530	19.46
21.781	20.75	22.031	19.46
22.282	20.75	22.532	19.46
22.781	20.75	23.032	19.56
23.282	20.75	23.533	19.46
23.783	20.75	24.034	19.56
24.284	20.75	24.534	19.56
24.784	20.75	25.035	19.56
25.285	20.75	25.536	19.56
25.786	20.75	26.037	19.56
26.287	20.75	26.537	19.56
26.787	20.75	27.038	19.56
27.288	20.75	27.539	19.46
27.789	20.75	28.040	19.56
28.289	20.75	28.539	19.56
28.790	20.75	29.040	19.56
29.291	20.75	29.541	19.56
29.792	20.75	30.042	19.56
30.292	20.75	30.542	19.56
30.793	20.75	31.043	19.56
31.294	20.75	31.544	19.46
31.795	20.65	32.044	19.56
32.295	20.65	32.545	19.56
32.796	20.75	33.046	19.56
33.297	20.65	33.547	19.56
33.798	20.75	34.047	19.56
34.298	20.75	34.548	19.56
34.798	20.65	35.049	19.56
35.299	20.75	35.550	19.46
35.799	20.65	36.050	19.56
36.300	20.65	36.551	19.46
36.801	20.75	37.052	19.46
37.302	20.65	37.553	19.46
37.802	20.65	38.053	19.56
38.303	20.75	38.554	19.46
38.804	20.65	39.055	19.46
39.305	20.75	39.556	19.46
39.805	20.75	40.056	19.46
40.306	20.75	40.557	19.46
40.807	20.75	41.057	19.46
41.308	20.65	41.557	19.46
41.808	20.75	42.058	19.46
42.309	20.65	42.559	19.46
42.810	20.75	43.060	19.46
43.311	20.65	43.560	19.46
43.811	20.75	44.061	19.46
44.312	20.75	44.562	19.46
44.813	20.65	45.063	19.46
45.313	20.75	45.563	19.46
45.814	20.75	46.064	19.46
46.314	20.65	46.565	19.36
46.815	20.75	47.066	19.46
47.315	20.65	47.566	19.46
47.816	20.75	48.067	19.46
48.317	20.75	48.568	19.46
48.818	20.65	49.068	19.46
49.318	20.75	49.569	19.46
49.819	20.75	50.070	19.46
