#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.249	21.74	0.499	21.61
0.750	21.54	1.000	21.51
1.251	21.94	1.501	21.61
1.752	22.24	2.001	21.51
2.252	22.44	2.502	21.51
2.753	22.64	3.003	21.61
3.254	22.84	3.504	21.61
3.755	22.84	4.004	21.61
4.255	22.94	4.505	21.61
4.756	23.04	5.006	21.61
5.257	23.04	5.507	21.61
5.756	23.14	6.007	21.71
6.257	23.14	6.508	21.71
6.758	23.24	7.009	21.82
7.259	23.24	7.510	21.82
7.759	23.24	8.010	21.92
8.260	23.24	8.511	21.92
8.761	23.34	9.012	21.92
9.262	23.34	9.512	21.92
9.762	23.34	10.013	21.92
10.263	23.34	10.514	21.92
10.764	23.34	11.015	21.92
11.265	23.34	11.515	21.92
11.765	23.44	12.015	21.92
12.266	23.44	12.516	21.92
12.767	23.44	13.017	21.92
13.267	23.44	13.517	22.02
13.768	23.44	14.018	22.02
14.269	23.44	14.519	22.02
14.770	23.54	15.020	22.02
15.270	23.54	15.520	22.02
15.771	23.54	16.021	22.02
16.272	23.54	16.522	22.02
16.773	23.54	17.023	22.02
17.273	23.54	17.523	22.02
17.773	23.54	18.024	22.02
18.274	23.54	18.525	22.13
18.775	23.54	19.025	22.02
19.275	23.54	19.526	22.13
19.776	23.54	20.027	22.02
20.277	23.64	20.528	22.02
20.778	23.54	21.028	22.13
21.278	23.64	21.529	22.13
21.779	23.64	22.030	22.13
22.280	23.64	22.531	22.02
22.780	23.54	23.031	22.13
23.281	23.64	23.532	22.02
23.782	23.64	24.032	22.13
24.283	23.64	24.533	22.13
24.783	23.64	25.033	22.13
25.284	23.64	25.534	22.13
25.785	23.54	26.035	22.13
26.286	23.64	26.535	22.13
26.786	23.64	27.036	22.13
27.287	23.64	27.537	22.13
27.788	23.64	28.038	22.13
28.289	23.64	28.538	22.23
28.789	23.74	29.039	22.13
29.290	23.64	29.540	22.13
29.791	23.74	30.041	22.13
30.290	23.74	30.541	22.23
30.791	23.74	31.042	22.23
31.292	23.74	31.543	22.23
31.793	23.74	32.044	22.13
32.293	23.74	32.544	22.13
32.794	23.74	33.045	22.13
33.295	23.64	33.546	22.23
33.796	23.74	34.047	22.13
34.296	23.74	34.547	22.23
34.797	23.74	35.048	22.23
35.298	23.74	35.549	22.23
35.799	23.74	36.048	22.23
36.299	23.74	36.549	22.23
36.800	23.74	37.050	22.23
37.301	23.74	37.551	22.23
37.802	23.74	38.051	22.23
38.302	23.74	38.552	22.23
38.803	23.74	39.053	22.23
39.304	23.74	39.554	22.23
39.804	23.74	40.054	22.33
40.305	23.74	40.555	22.23
40.806	23.74	41.056	22.33
41.307	23.74	41.557	22.23
41.807	23.74	42.057	22.23
42.308	23.74	42.558	22.23
42.808	23.74	43.059	22.23
43.309	23.74	43.559	22.23
43.809	23.74	44.060	22.33
44.310	23.74	44.561	22.23
44.811	23.74	45.062	22.23
45.312	23.74	45.562	22.23
45.812	23.74	46.063	22.33
46.313	23.74	46.564	22.33
46.814	23.84	47.065	22.33
47.314	23.74	47.565	22.33
47.815	23.84	48.066	22.33
48.316	23.74	48.566	22.33
48.817	23.84	49.067	22.33
49.317	23.74	49.567	22.33
49.818	23.84	50.068	22.33
50.319	23.74	50.569	22.23
50.820	23.84	51.069	22.33
51.320	23.84	51.570	22.33
51.821	23.84	52.071	22.33
52.322	23.84	52.572	22.33
52.823	23.84	53.072	22.23
53.323	23.74	53.573	22.33
53.824	23.84	54.074	22.33
54.325	23.84	54.575	22.33
54.824	23.74	55.075	22.33
55.325	23.74	55.576	22.23
55.826	23.84	56.077	22.33
56.327	23.74	56.578	22.33
56.827	23.74	57.078	22.33
57.328	23.84	57.579	22.33
57.829	23.84	58.080	22.33
58.330	23.74	58.581	22.33
58.830	23.84	59.081	22.33
59.331	23.84	59.582	22.33
59.832	23.74	60.083	22.33
60.333	23.84	60.582	22.33
60.833	23.74	61.083	22.33
61.334	23.74	61.584	22.33
61.835	23.84	62.085	22.33
62.336	23.84	62.585	22.33
62.836	23.84	63.086	22.33
63.337	23.84	63.587	22.33
63.838	23.74	64.088	22.33
64.338	23.84	64.588	22.43
64.839	23.74	65.089	22.43
65.340	23.84	65.590	22.33
65.841	23.84	66.091	22.33
