#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	19.57	0.500	20.07
0.751	20.16	1.001	20.48
1.252	20.75	1.502	21.00
1.753	22.74	2.003	22.54
2.253	24.24	2.503	24.09
2.753	25.25	3.004	25.34
3.254	26.07	3.505	25.96
3.755	26.37	4.005	26.59
4.255	26.58	4.506	27.12
4.756	26.78	5.007	27.54
5.257	26.99	5.508	27.97
5.758	27.19	6.008	28.39
6.258	27.30	6.509	28.71
6.759	27.60	7.010	29.04
7.260	27.60	7.511	29.36
7.760	27.81	8.011	29.68
8.261	27.92	8.511	29.90
8.762	28.02	9.012	30.11
9.263	28.12	9.513	30.44
9.763	28.23	10.013	30.65
10.264	28.33	10.514	30.76
10.765	28.43	11.015	31.09
11.266	28.54	11.515	31.20
11.766	28.64	12.016	31.42
12.267	28.75	12.517	31.53
12.768	28.75	13.018	31.64
13.269	28.85	13.518	31.86
13.769	28.85	14.019	32.08
14.270	28.95	14.520	32.19
14.770	29.06	15.021	32.30
15.271	29.06	15.521	32.41
15.771	29.16	16.022	32.52
16.272	29.16	16.523	32.52
16.773	29.27	17.024	32.74
17.273	29.27	17.524	32.85
17.774	29.27	18.025	33.07
18.275	29.37	18.526	33.07
18.776	29.48	19.027	33.19
19.276	29.37	19.527	33.30
19.777	29.48	20.028	33.41
20.278	29.58	20.529	33.41
20.779	29.58	21.028	33.52
21.279	29.58	21.529	33.63
21.780	29.58	22.030	33.74
22.281	29.69	22.531	33.74
22.782	29.79	23.031	33.86
23.282	29.69	23.532	33.86
23.783	29.79	24.033	33.97
24.284	29.79	24.534	33.97
24.784	29.79	25.034	34.08
25.285	29.90	25.535	34.08
25.786	29.90	26.036	34.08
26.287	29.90	26.537	34.19
26.786	29.90	27.037	34.19
27.287	30.01	27.538	34.31
27.788	30.01	28.039	34.31
28.289	30.01	28.539	34.31
28.789	30.01	29.040	34.31
29.290	30.01	29.541	34.42
29.791	30.11	30.042	34.42
30.292	30.11	30.542	34.53
30.792	30.11	31.043	34.53
31.293	30.11	31.544	34.53
31.794	30.11	32.045	34.53
32.295	30.11	32.544	34.65
32.795	30.22	33.045	34.65
33.296	30.22	33.546	34.65
33.797	30.22	34.047	34.65
34.297	30.22	34.547	34.76
34.798	30.22	35.048	34.76
35.299	30.32	35.549	34.76
35.800	30.22	36.050	34.87
36.300	30.32	36.550	34.87
36.801	30.32	37.051	34.87
37.302	30.32	37.552	34.87
37.803	30.32	38.052	34.87
38.302	30.32	38.553	34.87
38.803	30.32	39.054	34.87
39.304	30.32	39.555	34.87
39.805	30.32	40.055	34.87
40.305	30.32	40.556	34.99
40.806	30.32	41.057	34.99
41.307	30.32	41.558	34.99
41.807	30.32	42.058	34.99
42.308	30.43	42.559	34.99
42.809	30.43	43.060	34.99
43.310	30.32	43.561	34.99
43.810	30.32	44.061	35.10
44.311	30.43	44.562	34.99
44.812	30.43	45.062	35.10
45.313	30.43	45.562	35.10
45.813	30.43	46.063	35.10
46.314	30.43	46.564	35.22
46.815	30.43	47.065	35.22
47.316	30.43	47.565	35.10
47.816	30.43	48.066	35.22
48.317	30.43	48.567	35.22
48.818	30.43	49.068	35.22
49.319	30.43	49.568	35.10
49.819	30.53	50.069	35.22
50.320	30.53	50.570	35.22
50.820	30.43	51.071	35.22
51.320	30.53	51.571	35.22
51.821	30.53	52.072	35.22
52.322	30.53	52.573	35.22
52.823	30.53	53.074	35.22
53.323	30.53	53.574	35.22
53.824	30.53	54.075	35.22
54.325	30.53	54.576	35.22
54.826	30.53	55.076	35.22
55.326	30.53	55.577	35.22
55.827	30.53	56.078	35.22
56.328	30.53	56.578	35.22
56.829	30.53	57.078	35.22
57.329	30.53	57.579	35.22
57.830	30.53	58.080	35.22
58.331	30.53	58.581	35.33
58.831	30.53	59.081	35.33
