#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	21.84	0.500	22.54
0.751	22.04	1.001	22.54
1.252	23.14	1.502	22.64
1.753	24.55	2.002	22.74
2.253	25.66	2.503	23.36
2.754	26.37	3.004	24.30
3.255	26.88	3.505	24.92
3.756	27.19	4.005	25.23
4.256	27.50	4.506	25.65
4.757	27.71	5.007	25.86
5.257	27.92	5.508	26.28
5.757	28.02	6.008	26.49
6.258	28.12	6.509	26.80
6.759	28.23	7.010	27.02
7.260	28.23	7.511	27.23
7.760	28.33	8.011	27.44
8.261	28.43	8.512	27.65
8.762	28.54	9.013	27.86
9.263	28.54	9.513	28.18
9.763	28.64	10.014	28.39
10.264	28.75	10.515	28.61
10.765	28.85	11.015	28.71
11.266	28.85	11.515	28.93
11.766	28.85	12.016	29.04
12.267	28.95	12.517	29.25
12.768	29.06	13.018	29.36
13.268	29.06	13.518	29.47
13.769	29.16	14.019	29.57
14.270	29.16	14.520	29.79
14.771	29.27	15.021	29.90
15.271	29.27	15.521	30.00
15.772	29.37	16.022	30.11
16.273	29.37	16.523	30.22
16.774	29.48	17.023	30.33
17.273	29.48	17.524	30.44
17.774	29.58	18.025	30.55
18.275	29.58	18.526	30.65
18.776	29.58	19.026	30.76
19.276	29.58	19.527	30.87
19.777	29.69	20.028	30.98
20.278	29.69	20.529	31.09
20.778	29.69	21.029	31.09
21.279	29.79	21.530	31.20
21.780	29.79	22.031	31.20
22.281	29.79	22.532	31.20
22.781	29.79	23.032	31.31
23.282	29.90	23.532	31.42
23.783	29.90	24.033	31.42
24.284	29.90	24.533	31.42
24.784	29.90	25.034	31.53
25.285	30.01	25.535	31.64
25.786	30.01	26.036	31.64
26.287	30.01	26.536	31.64
26.787	30.01	27.037	31.64
27.288	30.01	27.538	31.75
27.789	30.11	28.039	31.75
28.290	30.11	28.539	31.75
28.790	30.11	29.040	31.86
29.290	30.11	29.541	31.86
29.791	30.11	30.042	31.86
30.291	30.11	30.542	31.97
30.792	30.11	31.043	31.97
31.293	30.22	31.544	32.08
31.794	30.22	32.045	31.97
32.294	30.11	32.545	32.08
32.795	30.22	33.046	32.08
33.296	30.22	33.547	32.08
33.797	30.22	34.047	32.08
34.297	30.22	34.548	32.08
34.798	30.22	35.049	32.19
35.299	30.22	35.550	32.19
35.800	30.22	36.049	32.19
36.300	30.22	36.550	32.30
36.801	30.32	37.051	32.30
37.302	30.22	37.552	32.30
37.802	30.22	38.052	32.41
38.303	30.22	38.553	32.30
38.804	30.32	39.054	32.41
39.305	30.32	39.555	32.41
39.805	30.32	40.055	32.41
40.306	30.32	40.556	32.52
40.807	30.32	41.057	32.52
41.308	30.32	41.557	32.52
41.808	30.32	42.058	32.52
42.308	30.32	42.559	32.52
42.809	30.32	43.060	32.52
43.310	30.32	43.560	32.52
43.810	30.32	44.061	32.52
44.311	30.32	44.562	32.52
44.812	30.32	45.063	32.52
45.312	30.32	45.563	32.52
45.813	30.43	46.064	32.52
46.314	30.32	46.565	32.52
46.815	30.32	47.066	32.52
47.315	30.43	47.566	32.52
47.816	30.32	48.066	32.52
48.317	30.32	48.567	32.52
48.818	30.32	49.068	32.52
49.318	30.32	49.568	32.63
49.819	30.32	50.069	32.52
50.320	30.32	50.570	32.52
50.821	30.43	51.070	32.63
51.321	30.43	51.571	32.63
51.822	30.32	52.072	32.63
52.323	30.43	52.573	32.63
52.824	30.43	53.073	32.63
53.324	30.32	53.574	32.74
53.824	30.32	54.075	32.74
