#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	22.14	0.501	20.59
0.751	22.24	1.002	20.69
1.252	22.44	1.503	21.10
1.752	23.04	2.003	21.30
2.253	23.34	2.504	21.41
2.754	23.54	3.005	21.51
3.255	23.64	3.506	21.71
3.755	23.84	4.006	21.71
4.256	23.94	4.507	21.92
4.757	24.04	5.008	22.02
5.258	24.14	5.508	22.13
5.758	24.24	6.008	22.23
6.259	24.34	6.509	22.43
6.760	24.34	7.010	22.43
7.261	24.44	7.510	22.54
7.761	24.44	8.011	22.64
8.262	24.55	8.512	22.74
8.763	24.55	9.013	22.85
9.263	24.65	9.513	22.85
9.764	24.65	10.014	23.05
10.265	24.75	10.515	23.05
10.766	24.75	11.016	23.16
11.266	24.85	11.516	23.16
11.767	24.85	12.017	23.26
12.267	24.85	12.518	23.36
12.768	24.95	13.018	23.47
13.268	24.95	13.519	23.36
13.769	24.95	14.020	23.47
14.270	24.95	14.521	23.47
14.771	25.05	15.021	23.57
15.271	25.05	15.522	23.67
15.772	25.05	16.023	23.67
16.273	25.05	16.524	23.67
16.773	25.05	17.024	23.78
17.274	25.05	17.525	23.88
17.775	25.15	18.026	23.88
18.276	25.15	18.526	23.78
18.776	25.15	19.026	23.98
19.277	25.15	19.527	23.98
19.778	25.25	20.028	23.98
20.279	25.25	20.528	24.09
20.779	25.25	21.029	24.09
21.280	25.25	21.530	24.09
21.781	25.25	22.031	24.09
22.282	25.25	22.531	24.09
22.782	25.25	23.032	24.19
23.283	25.35	23.533	24.19
23.784	25.35	24.034	24.19
24.285	25.35	24.534	24.30
24.784	25.35	25.035	24.19
25.285	25.35	25.536	24.09
25.786	25.35	26.037	24.30
26.286	25.35	26.537	24.30
26.787	25.35	27.038	24.30
27.288	25.35	27.539	24.40
27.789	25.46	28.040	24.30
28.289	25.35	28.540	24.40
28.790	25.46	29.041	24.40
29.291	25.46	29.542	24.40
29.792	25.46	30.042	24.40
30.292	25.46	30.542	24.50
30.793	25.46	31.043	24.40
31.294	25.46	31.544	24.50
31.795	25.46	32.044	24.40
32.295	25.56	32.545	24.50
32.796	25.56	33.046	24.50
33.297	25.46	33.547	24.50
33.797	25.56	34.047	24.50
34.298	25.46	34.548	24.50
34.799	25.46	35.049	24.50
35.300	25.46	35.550	24.50
35.800	25.56	36.050	24.50
36.301	25.46	36.551	24.50
36.801	25.46	37.052	24.50
37.302	25.46	37.552	24.50
37.802	25.46	38.053	24.50
38.303	25.46	38.554	24.50
38.804	25.46	39.055	24.50
39.305	25.46	39.555	24.50
39.805	25.46	40.056	24.50
40.306	25.46	40.557	24.50
40.807	25.46	41.058	24.50
41.308	25.46	41.558	24.50
41.808	25.56	42.059	24.61
42.309	25.46	42.559	24.61
42.810	25.46	43.060	24.61
43.310	25.56	43.560	24.61
43.811	25.46	44.061	24.61
44.312	25.46	44.562	24.61
44.813	25.46	45.063	24.61
45.313	25.56	45.563	24.61
45.814	25.46	46.064	24.61
46.315	25.56	46.565	24.61
46.816	25.46	47.065	24.61
47.316	25.56	47.566	24.61
47.817	25.46	48.067	24.71
48.318	25.56	48.568	24.71
48.819	25.56	49.068	24.71
49.318	25.46	49.569	24.71
49.819	25.46	50.070	24.71
50.320	25.46	50.571	24.71
50.820	25.46	51.071	24.61
51.321	25.46	51.572	24.71
51.822	25.46	52.073	24.71
52.323	25.46	52.574	24.71
52.823	25.46	53.074	24.61
53.324	25.46	53.575	24.71
53.825	25.35	54.076	24.71
54.326	25.35	54.576	24.71
54.826	25.35	55.077	24.61
55.327	25.35	55.577	24.61
55.828	25.35	56.078	24.61
56.329	25.35	56.578	24.61
56.829	25.35	57.079	24.50
57.330	25.35	57.580	24.61
57.831	25.35	58.081	24.50
58.332	25.35	58.581	24.61
58.832	25.35	59.082	24.50
59.333	25.35	59.583	24.61
59.834	25.35	60.084	24.50
60.334	25.35	60.584	24.61
60.835	25.35	61.085	24.61
61.336	25.25	61.586	24.71
61.836	25.25	62.087	24.61
62.336	25.35	62.587	24.71
62.837	25.25	63.088	24.61
63.338	25.25	63.589	24.61
63.839	25.35	64.089	24.71
64.339	25.25	64.590	24.61
64.840	25.35	65.091	24.71
65.341	25.25	65.592	24.71
65.842	25.35	66.092	24.81
66.342	25.35	66.593	24.71
