#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	21.15	0.501	20.59
0.752	21.35	1.001	20.59
1.251	21.64	1.502	21.41
1.752	23.24	2.003	22.13
2.253	24.04	2.504	22.74
2.754	24.55	3.004	23.16
3.254	24.95	3.505	23.67
3.755	25.25	4.006	24.09
4.256	25.56	4.507	24.40
4.757	25.66	5.007	24.81
5.257	25.96	5.508	25.02
5.758	26.07	6.009	25.23
6.259	26.17	6.510	25.55
6.759	26.37	7.010	25.75
7.260	26.47	7.510	25.96
7.761	26.58	8.011	26.17
8.262	26.68	8.512	26.38
8.762	26.88	9.012	26.49
9.263	26.88	9.513	26.70
9.764	26.99	10.014	26.91
10.265	27.09	10.514	27.12
10.765	27.09	11.015	27.33
11.266	27.19	11.516	27.44
11.767	27.30	12.017	27.54
12.268	27.30	12.517	27.76
12.768	27.40	13.018	27.86
13.268	27.40	13.519	27.86
13.769	27.50	14.020	28.08
14.269	27.60	14.520	28.18
14.770	27.60	15.021	28.18
15.271	27.71	15.522	28.39
15.772	27.71	16.023	28.50
16.272	27.71	16.523	28.61
16.773	27.81	17.024	28.71
17.274	27.81	17.525	28.71
17.775	27.81	18.025	28.82
18.275	27.92	18.526	28.93
18.776	27.92	19.027	29.04
19.277	27.92	19.527	29.04
19.778	28.02	20.027	29.14
20.278	28.02	20.528	29.25
20.779	28.02	21.029	29.36
21.280	28.12	21.530	29.36
21.781	28.12	22.030	29.47
22.281	28.12	22.531	29.47
22.782	28.23	23.032	29.57
23.283	28.23	23.533	29.68
23.783	28.23	24.033	29.68
24.284	28.23	24.534	29.79
24.785	28.33	25.035	29.79
25.285	28.23	25.536	29.79
25.785	28.33	26.036	29.90
26.286	28.33	26.537	30.00
26.787	28.33	27.038	29.90
27.288	28.33	27.538	30.00
27.788	28.43	28.039	30.00
28.289	28.43	28.540	30.00
28.790	28.43	29.041	30.11
29.291	28.43	29.541	30.11
29.791	28.43	30.042	30.11
30.292	28.54	30.543	30.22
30.793	28.54	31.044	30.11
31.293	28.54	31.543	30.22
31.794	28.54	32.044	30.22
32.295	28.54	32.545	30.33
32.796	28.54	33.046	30.33
33.296	28.54	33.546	30.44
33.797	28.64	34.047	30.44
34.298	28.64	34.548	30.44
34.799	28.54	35.048	30.44
35.299	28.64	35.549	30.55
35.800	28.64	36.050	30.44
36.301	28.64	36.551	30.55
36.802	28.64	37.051	30.55
37.302	28.75	37.552	30.55
37.802	28.64	38.053	30.55
38.303	28.75	38.554	30.65
38.803	28.75	39.054	30.55
39.304	28.75	39.555	30.65
39.805	28.75	40.056	30.65
40.306	28.75	40.557	30.76
40.806	28.64	41.057	30.76
41.307	28.75	41.558	30.76
41.808	28.75	42.059	30.76
42.309	28.75	42.560	30.76
42.809	28.75	43.060	30.76
43.310	28.75	43.560	30.76
43.811	28.75	44.061	30.76
44.312	28.75	44.561	30.76
44.812	28.75	45.062	30.76
45.313	28.75	45.563	30.76
45.814	28.85	46.064	30.76
46.315	28.75	46.564	30.76
46.815	28.75	47.065	30.87
47.316	28.85	47.566	30.87
47.817	28.75	48.067	30.87
48.317	28.85	48.567	30.87
48.818	28.85	49.068	30.87
49.318	28.85	49.569	30.87
49.819	28.85	50.070	30.87
50.319	28.85	50.570	30.87
