#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	19.57	0.501	19.46
0.752	19.47	1.002	19.46
1.253	19.47	1.503	19.46
1.753	19.47	2.003	19.46
2.254	19.57	2.504	19.46
2.754	19.57	3.005	19.46
3.255	19.57	3.506	19.46
3.755	19.57	4.006	19.46
4.256	19.57	4.507	19.46
4.757	19.57	5.008	19.46
5.258	19.57	5.508	19.46
5.758	19.57	6.009	19.46
6.259	19.57	6.510	19.56
6.760	19.57	7.011	19.46
7.261	19.57	7.511	19.46
7.761	19.57	8.012	19.46
8.262	19.57	8.512	19.46
8.763	19.57	9.013	19.46
9.263	19.57	9.513	19.46
9.764	19.57	10.014	19.46
10.265	19.57	10.515	19.56
10.766	19.57	11.016	19.56
11.266	19.57	11.516	19.56
11.767	19.57	12.017	19.46
12.268	19.57	12.518	19.56
12.769	19.57	13.018	19.56
13.269	19.57	13.519	19.56
13.770	19.66	14.020	19.56
14.271	19.57	14.521	19.56
14.771	19.57	15.021	19.56
15.271	19.57	15.522	19.56
15.772	19.57	16.023	19.56
16.273	19.57	16.524	19.56
16.773	19.57	17.024	19.56
17.274	19.57	17.525	19.56
17.775	19.57	18.026	19.56
18.276	19.57	18.527	19.56
18.776	19.57	19.027	19.56
19.277	19.57	19.528	19.56
19.778	19.57	20.029	19.56
20.279	19.57	20.529	19.56
20.779	19.57	21.029	19.56
21.280	19.57	21.530	19.56
21.781	19.57	22.031	19.56
22.282	19.57	22.531	19.66
22.782	19.57	23.032	19.56
23.283	19.57	23.533	19.56
23.784	19.47	24.034	19.56
24.285	19.57	24.534	19.56
24.785	19.57	25.035	19.56
25.286	19.57	25.536	19.56
25.787	19.57	26.037	19.56
26.287	19.57	26.537	19.56
26.787	19.47	27.038	19.66
27.288	19.57	27.539	19.56
27.789	19.57	28.040	19.56
28.289	19.57	28.540	19.56
28.790	19.57	29.041	19.56
29.291	19.57	29.542	19.56
29.792	19.57	30.042	19.56
30.292	19.57	30.543	19.56
30.793	19.57	31.044	19.56
31.294	19.57	31.545	19.56
31.795	19.57	32.045	19.56
32.295	19.57	32.545	19.56
32.796	19.57	33.046	19.56
33.297	19.57	33.547	19.56
33.797	19.57	34.047	19.56
34.298	19.57	34.548	19.56
34.799	19.57	35.049	19.56
35.300	19.57	35.550	19.56
35.800	19.57	36.050	19.56
36.301	19.57	36.551	19.56
36.802	19.57	37.052	19.56
37.303	19.57	37.553	19.56
37.803	19.57	38.053	19.66
38.304	19.57	38.554	19.66
38.804	19.57	39.055	19.56
39.305	19.57	39.555	19.56
